participant,participant_order,participant_session,condition,condition_session,source_file,timestamp_utc,seconds_from_active_start,event,mode,position,depth
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:27.140290500+00:00,51.372104,candidate_changed,Browsing,0.4186,0.1246
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:27.222067300+00:00,51.453881,candidate_changed,Browsing,0.5834,0.1212
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:27.485356300+00:00,51.71717,candidate_changed,Browsing,0.7501,0.1155
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:30.998640800+00:00,55.230454,touch_started,Browsing,0.8173,0.6526
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:31.000151600+00:00,55.231965,selection_confirmed,Browsing,0.8173,0.6526
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:31.002680400+00:00,55.234494,mode_changed,TouchConfirmed,0.8173,0.6526
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:31.449142500+00:00,55.680956,mode_changed,Detail,0.7842,0.6666
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:31.450149600+00:00,55.681963,detail_entered,Detail,0.7842,0.6666
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:31.647205400+00:00,55.879019,touch_ended,Detail,0.7831,0.673
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:36.169352100+00:00,60.401166,space_pressed,Detail,0.8226,0.3908
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:39.309126400+00:00,63.54094,candidate_changed,Detail,0.7499,0.2553
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:40.709569300+00:00,64.941383,pose_tracking_lost,Detail,0.6818,0.141
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:40.709569300+00:00,64.941383,mode_changed,Overview,0.6818,0.141
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:41.027161200+00:00,65.258975,intro_back_clicked,Overview,0.6818,0.141
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:41.029190700+00:00,65.261004,session_end,Overview,0.6818,0.141
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:16.308084500+00:00,-0.6495759999999999,session_start,Overview,0.5,0.5
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:16.318290+00:00,-0.63937,pose_tracking_lost,Overview,0.5,0.5
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:16.954653800+00:00,-0.003006999999999982,pose_tracking_restored,Overview,0.5,0.5
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:16.957659900+00:00,0.0,mode_changed,Browsing,0.4947,0.5016
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:16.957659900+00:00,0.0,candidate_changed,Browsing,0.4947,0.5016
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:18.605577500+00:00,1.647917,pose_tracking_lost,Browsing,0.1244,0.613
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:18.607091800+00:00,1.6494309999999999,mode_changed,Overview,0.1244,0.613
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:27.444862400+00:00,10.487202,pose_tracking_restored,Overview,0.1244,0.613
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:27.445861600+00:00,10.488201,mode_changed,Browsing,0.1351,0.6202
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:27.445861600+00:00,10.488201,candidate_changed,Browsing,0.1351,0.6202
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:31.807991400+00:00,14.850331,touch_started,Browsing,0.3928,0.3325
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:31.808999700+00:00,14.851339,candidate_changed,Browsing,0.3928,0.3325
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:33.551480300+00:00,16.59382,touch_ended,Browsing,0.414,0.2919
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:33.993364800+00:00,17.035704,touch_started,Browsing,0.4165,0.3118
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:33.994373400+00:00,17.036713,selection_confirmed,Browsing,0.4165,0.3118
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:33.994373400+00:00,17.036713,mode_changed,Detail,0.4165,0.3118
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:33.994373400+00:00,17.036713,detail_entered,Detail,0.4165,0.3118
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:34.979446500+00:00,18.021786,touch_ended,Detail,0.4856,0.3526
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:40.828169300+00:00,23.870509,space_pressed,Detail,0.5356,0.371
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:44.992202300+00:00,28.034542,touch_started,Detail,0.5324,0.3874
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:44.992202300+00:00,28.034542,mode_changed,Browsing,0.5324,0.3874
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:44.993208100+00:00,28.035548,detail_exited,Browsing,0.5324,0.3874
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:46.095033700+00:00,29.137373,touch_ended,Browsing,0.5482,0.3496
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:50.460176800+00:00,33.502516,pose_tracking_lost,Browsing,0.5447,0.8872
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:50.460176800+00:00,33.502516,mode_changed,Overview,0.5447,0.8872
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:56.610563300+00:00,39.652903,pose_tracking_restored,Overview,0.5447,0.8872
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:56.611568500+00:00,39.653908,mode_changed,Browsing,0.5456,0.8879
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:56.611568500+00:00,39.653908,candidate_changed,Browsing,0.5456,0.8879
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:59.496519400+00:00,42.538859,touch_started,Browsing,0.6554,0.3333
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:22:59.498034100+00:00,42.540374,candidate_changed,Browsing,0.6554,0.3333
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2026-06-10 05:23:01.220704+00:00,44.263044,touch_ended,Browsing,0.6481,0.2988
