participant,participant_order,participant_session,condition,condition_session,source_file,mode,duration_s
6,TouchFirst,1,Baseline,1,user_events_20260610_165105_903.tsv,Browsing,27.109901300000004
6,TouchFirst,1,Baseline,1,user_events_20260610_165105_903.tsv,TouchConfirmed,0.0
6,TouchFirst,1,Baseline,1,user_events_20260610_165105_903.tsv,Detail,30.155631
6,TouchFirst,2,Baseline,2,user_events_20260610_165229_129.tsv,Overview,8.8932219
6,TouchFirst,2,Baseline,2,user_events_20260610_165229_129.tsv,Browsing,44.0298179
6,TouchFirst,2,Baseline,2,user_events_20260610_165229_129.tsv,TouchConfirmed,0.0
6,TouchFirst,2,Baseline,2,user_events_20260610_165229_129.tsv,Detail,21.4443206
6,TouchFirst,3,Baseline,3,user_events_20260610_165356_848.tsv,Overview,8.371928
6,TouchFirst,3,Baseline,3,user_events_20260610_165356_848.tsv,Browsing,39.02416720000001
6,TouchFirst,3,Baseline,3,user_events_20260610_165356_848.tsv,TouchConfirmed,0.0
6,TouchFirst,3,Baseline,3,user_events_20260610_165356_848.tsv,Detail,19.1399316
6,TouchFirst,4,Ours,1,user_events_20260610_165835_805.tsv,Overview,4.6130092000000005
6,TouchFirst,4,Ours,1,user_events_20260610_165835_805.tsv,Browsing,28.1913702
6,TouchFirst,4,Ours,1,user_events_20260610_165835_805.tsv,TouchConfirmed,1.3462731
6,TouchFirst,4,Ours,1,user_events_20260610_165835_805.tsv,Detail,18.9137917
6,TouchFirst,5,Ours,2,user_events_20260610_165937_371.tsv,Overview,11.1901035
6,TouchFirst,5,Ours,2,user_events_20260610_165937_371.tsv,Browsing,31.9963668
6,TouchFirst,5,Ours,2,user_events_20260610_165937_371.tsv,TouchConfirmed,3.161486
6,TouchFirst,5,Ours,2,user_events_20260610_165937_371.tsv,Detail,23.173820500000005
6,TouchFirst,6,Ours,3,user_events_20260610_170054_295.tsv,Overview,7.5266851
6,TouchFirst,6,Ours,3,user_events_20260610_170054_295.tsv,Browsing,11.6841187
6,TouchFirst,6,Ours,3,user_events_20260610_170054_295.tsv,TouchConfirmed,0.8993521
6,TouchFirst,6,Ours,3,user_events_20260610_170054_295.tsv,Detail,11.464633200000002
