participant,participant_order,participant_session,condition,condition_session,source_file,from_mode,to_mode,transition,direction,position,depth,pre_3s_events,pre_3s_candidate_changes,pre_3s_path_distance,pre_3s_position_delta,pre_3s_depth_delta
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5341,0.3072,7,0,0.05674598183344413,0.02429999999999999,-0.0022000000000000353
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.5273,0.3277,11,0,0.1017946791243104,0.01749999999999996,0.018299999999999983
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5743,0.3065,10,0,0.11503194573688527,0.040200000000000014,-0.0006999999999999784
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.526,0.3187,3,1,0.049684705896281635,-0.055499999999999994,0.015100000000000002
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5101,0.3036,7,0,0.049444423560527404,-0.022299999999999986,0.007599999999999996
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.5139,0.3075,11,0,0.06920105197158029,-0.01849999999999996,0.01150000000000001
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5159,0.3173,10,0,0.03531223091495413,-0.007199999999999984,0.010800000000000032
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4132,0.3312,1,0,0.0,0.0,0.0
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4118,0.3274,6,0,0.08210377172195368,-0.0014000000000000123,-0.00379999999999997
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4214,0.3204,10,0,0.10444256299914641,0.008199999999999985,-0.010799999999999976
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.408,0.2977,10,0,0.0642339827406667,-0.0038000000000000256,-0.029700000000000004
